Thu Jul 11 15:42:32 2013,,,,,
637105,1650,1008939,,,
637133,675,1009614,,,
637965,1425,1011039,,,
639573,825,1011864,,,
640745,675,1012539,,,
641175,975,1013514,,,
641259,1425,1014939,,,
642135,1650,1016589,,,
643475,450,1017039,,,
643567,525,1017564,,,
644399,975,1018539,,,
644435,900,1019439,,,
645933,1875,1021314,,,
645969,975,1022289,,,
647057,825,1023114,,,
647149,600,1023714,,,
647191,825,1024539,,,
648363,1425,1025964,,,
649897,900,1026864,,,
650773,1425,1028289,,,
650857,825,1029114,,,
652205,1350,1030464,,,
652241,750,1031214,,,
653073,600,1031814,,,
653165,450,1032264,,,
653587,525,1032789,,,
653679,600,1033389,,,
654767,1275,1034664,,,
654803,900,1035564,,,
655382,975,1036539,,,
655466,975,1037514,,,
656598,975,1038489,,,
656790,228,1038717,,,
658136,900,1039617,,,
659052,600,1040217,,,
660400,1275,1041492,,,
660436,1200,1042692,,,
661268,600,1043292,,,
661360,525,1043817,,,
661778,975,1044792,,,
661870,675,1045467,,,
662958,1050,1046517,,,
662994,1125,1047642,,,
664108,1200,1048842,,,
665240,975,1049817,,,
665324,600,1050417,,,
665750,900,1051317,,,
666666,1275,1052592,,,
668050,975,1053567,,,
668142,825,1054392,,,
668974,600,1054992,,,
669010,2325,1057317,,,
670512,1200,1058517,,,
670548,1425,1059942,,,
671636,450,1060392,,,
671728,450,1060842,,,
672184,675,1061517,,,
672204,600,1062117,,,
673036,1650,1063767,,,
673144,2025,1065792,,,
674570,1425,1067217,,,
674678,825,1068042,,,
675766,825,1068867,,,
675786,450,1069317,,,
676466,900,1070217,,,
677554,825,1071042,,,
677582,1125,1072167,,,
678068,975,1073142,,,
678096,525,1073667,,,
679028,1050,1074717,,,
680842,825,1075542,,,
680950,975,1076517,,,
681782,825,1077342,,,
681802,525,1077867,,,
682296,675,1078542,,,
682316,525,1079067,,,
683404,1050,1080117,,,
683512,1650,1081767,,,
684084,1350,1083117,,,
684112,825,1083942,,,
685200,1125,1085067,,,
686734,1350,1086417,,,
687666,975,1087392,,,
687694,525,1087917,,,
688267,675,1088592,,,
688375,525,1089117,,,
689207,2325,1091442,,,
690741,1125,1092567,,,
691849,675,1093242,,,
691957,675,1093917,,,
693041,1425,1095342,,,
693069,1350,1096692,,,
694157,825,1097517,,,
694257,975,1098492,,,
694671,825,1099317,,,
694771,450,1099767,,,
695603,1125,1100892,,,
695631,1350,1102242,,,
697033,1125,1103367,,,
697865,900,1104267,,,
697973,675,1104942,,,
698379,675,1105617,,,
698487,600,1106217,,,
699595,975,1107192,,,
700687,600,1107792,,,
700787,450,1108242,,,
701875,1200,1109442,,,
701903,1125,1110567,,,
703409,1125,1111692,,,
703437,1500,1113192,,,
704269,600,1113792,,,
704369,975,1114767,,,
704809,675,1115442,,,
704853,825,1116267,,,
705941,675,1116942,,,
706025,1725,1118667,,,
707479,2250,1120917,,,
707563,975,1121892,,,
708395,900,1122792,,,
708439,975,1123767,,,
709267,1350,1125117,,,
710191,1200,1126317,,,
